iteration , time_elapsed
0,0.04
1,0.014
2,0.012
3,0.012
4,0.013
5,0.013
6,0.013
7,0.008
8,0.007
9,0.007
10,0.008
11,0.008
12,0.007
13,0.008
14,0.008
15,0.008
16,0.007
17,0.008
18,0.008
19,0.007
20,0.009
21,0.007
22,0.008
23,0.008
24,0.007
25,0.008
26,0.008
27,0.008
28,0.008
29,0.011
30,0.009
31,0.008
32,0.008
33,0.008
34,0.008
35,0.011
36,0.012
37,0.012
38,0.012
39,0.012
40,0.012
41,0.012
42,0.007
43,0.007
44,0.008
45,0.008
46,0.007
47,0.008
48,0.007
49,0.008
50,0.008
51,0.007
52,0.008
53,0.008
54,0.007
55,0.01
56,0.007
57,0.008
58,0.008
59,0.007
60,0.008
61,0.007
62,0.008
63,0.008
64,0.007
65,0.008
66,0.007
67,0.007
68,0.008
69,0.008
70,0.011
71,0.013
72,0.014
73,0.013
74,0.014
75,0.013
76,0.014
77,0.013
78,0.011
79,0.012
80,0.012
81,0.012
82,0.012
83,0.012
84,0.01
85,0.008
86,0.008
87,0.008
88,0.008
89,0.009
90,0.008
91,0.008
92,0.008
93,0.008
94,0.008
95,0.008
96,0.008
97,0.008
98,0.008
99,0.009
Score: 10.0
Runtime: 3518ms
