iteration , time_elapsed
0,0.008
1,0.003
2,0.004
3,0.003
4,0.003
5,0.003
6,0.003
7,0.003
8,0.002
9,0.003
10,0.003
11,0.003
12,0.003
13,0.002
14,0.003
15,0.003
16,0.003
17,0.002
18,0.002
19,0.003
20,0.003
21,0.003
22,0.003
23,0.003
24,0.003
25,0.003
26,0.003
27,0.003
28,0.002
29,0.002
30,0.003
31,0.003
32,0.002
33,0.003
34,0.003
35,0.003
36,0.002
37,0.003
38,0.003
39,0.002
40,0.003
41,0.003
42,0.003
43,0.002
44,0.003
45,0.003
46,0.002
47,0.003
48,0.003
49,0.003
50,0.002
51,0.003
52,0.003
53,0.002
54,0.003
55,0.003
56,0.003
57,0.002
58,0.003
59,0.003
60,0.002
61,0.003
62,0.003
63,0.003
64,0.002
65,0.003
66,0.003
67,0.002
68,0.002
69,0.003
70,0.003
71,0.003
72,0.003
73,0.003
74,0.002
75,0.003
76,0.003
77,0.003
78,0.002
79,0.002
80,0.003
81,0.003
82,0.002
83,0.003
84,0.003
85,0.002
86,0.003
87,0.003
88,0.002
89,0.003
90,0.003
91,0.002
92,0.003
93,0.003
94,0.002
95,0.003
96,0.003
97,0.002
98,0.003
99,0.003
Score: 10.0
Runtime: 1985ms
